matchup,lucy_iters,baseline_iters,seed,num_hands,mbb_per_hand_a,mbb_se,ci_low,ci_high,seconds
v3-dcfr-os-vs-openspiel,1000,1000,__SEED_POOL__,15000,319.4,345.59962866492396,-357.9752721832509,996.7752721832509,175.0368320941925
v3-dcfr-os-vs-openspiel,10000,10000,__SEED_POOL__,15000,-735.6333333333333,484.26599554836025,-1684.7946846081195,213.52801794145273,359.1828181743622
v3-dcfr-os-vs-openspiel,100000,100000,__SEED_POOL__,15000,-1337.9333333333334,209.30680298972075,-1748.174667193186,-927.6919994734808,1075.5148677825928
v3-dcfr-os-vs-openspiel,1000000,1000000,__SEED_POOL__,15000,-3006.0,375.77509674449334,-3742.519189619207,-2269.480810380793,2933.333172082901
v3-dcfr-vs-openspiel,1000,1000,__SEED_POOL__,15000,319.4,345.59962866492396,-357.9752721832509,996.7752721832509,836.0485019683838
v3-dcfr-vs-openspiel,10000,10000,__SEED_POOL__,15000,-735.6333333333333,484.26599554836025,-1684.7946846081195,213.52801794145273,4444.8315346241
v3-dcfr-vs-openspiel,1000000,1000000,__SEED_POOL__,5000,-3756.7,663.5939080446094,-5057.344059767434,-2456.0559402325653,2431.9983999729156
v3-os-vs-openspiel,1000,1000,__SEED_POOL__,15000,319.4,345.59962866492396,-357.9752721832509,996.7752721832509,193.07187247276306
v3-os-vs-openspiel,10000,10000,__SEED_POOL__,15000,-735.6333333333333,484.26599554836025,-1684.7946846081195,213.52801794145273,387.2748680114746
v3-os-vs-openspiel,100000,100000,__SEED_POOL__,15000,-1337.9333333333334,209.30680298972075,-1748.174667193186,-927.6919994734808,1082.9858138561249
v3-os-vs-openspiel,1000000,1000000,__SEED_POOL__,15000,-3006.0,375.77509674449334,-3742.519189619207,-2269.480810380793,3005.5817301273346
v3-v2bucket-vs-openspiel,1000,1000,__SEED_POOL__,15000,319.4,345.59962866492396,-357.9752721832509,996.7752721832509,1036.9243202209473
v3-v2bucket-vs-openspiel,10000,10000,__SEED_POOL__,15000,-735.6333333333333,484.26599554836025,-1684.7946846081195,213.52801794145273,4857.414061307907
v3-v2bucket-vs-openspiel,1000000,1000000,__SEED_POOL__,5000,-2599.7,644.5511557983405,-3863.020265364747,-1336.3797346352526,2300.9656744003296
